item	classification	result	requirement	detail	evidence
0399	NOT GUARANTEED	O	DMA after ignored physical read	DMA after ignored physical read is not guaranteed	followup/ERRTEST_SAFE_v2/screens.txt
0400	NOT GUARANTEED	O	Persistence after ignored physical write	Persistence after ignored write is not guaranteed	followup/ERRTEST_SAFE_v2/screens.txt
0401	NOT GUARANTEED	O	Make persistence after physical error	Make persistence after physical error is not guaranteed	followup/ERRTEST_SAFE_v2/screens.txt
0402	NOT GUARANTEED	O	Close persistence after physical error	Close persistence after physical error is not guaranteed	followup/ERRTEST_SAFE_v2/screens.txt
0403	NOT GUARANTEED	O	Physical-write atomicity	Physical-write atomicity is not guaranteed	followup/ERRTEST_SAFE_v2/screens.txt
0404	REQUIRED	P	Sequential read logical result	One record returned 00h; following sequential EOF returned 01h	build/compatibility/run-20260908-002221/ERRTEST_GROUP:AUTOMATIC/rows.txt
0405	REQUIRED	F	Sequential write logical result	Final physical BIOS errors return through the BDOS file-call result path instead of the operator path; successful and disk-full logical cases pass separately.	build/compatibility/run-20260907-234825/FAULTIO_VER_r/screens.txt
0406	REQUIRED	P	Random read logical codes	Random record 0 returned 00h; record 1 returned EOF 01h	build/compatibility/run-20260908-002221/ERRTEST_GROUP:AUTOMATIC/rows.txt
0407	REQUIRED	P	Random write logical codes	Random write returned 00h; record 10000h returned 06h	build/compatibility/run-20260908-002221/ERRTEST_GROUP:AUTOMATIC/rows.txt
0408	REQUIRED	P	Make/Delete/Rename/Close logical codes	Missing Open, then Make/Close/Rename/Delete codes agreed	build/compatibility/run-20260908-002221/ERRTEST_GROUP:AUTOMATIC/rows.txt
0409	OUTSIDE SCOPE	-	DRI permanent-error internals	DRI permanent-error internals are outside public contract	followup/ERRTEST_SAFE_v2/screens.txt
0410	OUTSIDE SCOPE	-	z80pack status values	z80pack private status values are outside public contract	followup/ERRTEST_SAFE_v2/screens.txt
0411	PROFILE REQUIRED	-	Exact Bad Sector text	Run /0411 with DRI-DIAG-PRES bad-sector capture	followup/ERRTEST_SAFE_v2/screens.txt
0412	NOT GUARANTEED	O	Accepted ignore characters	Accepted Ignore characters are implementation-dependent	followup/ERRTEST_SAFE_v2/screens.txt
0413	OPTIONAL	-	Structured physical-error extension	Structured errors not requested	followup/BDOSTEST_ALL_v3/screens.txt
0414	REQUIRED	P	Function 12 CP/M version result	Fn 12 returned CP/M 2.2	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0415	REQUIRED	P	Function 32 user-number query	Fn 32 queried user number	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0416	REQUIRED	P	Function 32 user-number selection	Fn 32 selected user 1	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0417	NOT GUARANTEED	O	Function 32 set-form result	Set-user A=01; not guaranteed	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0418	REQUIRED	P	Console functions do not use or overwrite DMA	Console status preserved DMA	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0419	REQUIRED	P	Console and identity calls preserve DMA selection	Identity calls preserved DMA	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0420	REQUIRED	P	Function 10 DE buffer is not DMA	Separate line buffer, DMA guard and following read passed	build/compatibility/run-20260907-223058/COREMORE_AB_r/rows.txt
0421	OUTSIDE SCOPE	UNRECORDED	DRI private console polling implementation		
0422	OUTSIDE SCOPE	-	Function 6 E=FEh behavior	Outside executable scope	followup/BDOSTEST_ALL_v3/screens.txt
0423	OUTSIDE SCOPE	UNRECORDED	Function 34 is not Compute File Size		
0424	REQUIRED	P	Function 27 allocation-vector pointer	Function 27 returned current scratch-disk ALV	build/compatibility/run-20260907-220650/BIOSTEST_0424_D_Y/rows.txt
0425	REQUIRED	P	Allocation-vector length and bit mapping	DPB-derived ALV length and bits matched blank disk	build/compatibility/run-20260907-220650/BIOSTEST_0425_D_Y/rows.txt
0426	REQUIRED	P	Reserved directory allocation bits	AL0/AL1 matched reserved ALV directory bits	build/compatibility/run-20260907-220650/BIOSTEST_0426_D_Y/rows.txt
0427	REQUIRED	P	Live allocation state	One-record block set then cleared its ALV bit	build/compatibility/run-20260907-222051/BIOSTEST_0427_D_Y/rows.txt
0428	NOT GUARANTEED	O	Allocation-pointer address and lifetime	Fixed address/lifetime is not portable	followup/BIOSTEST_SAFE_v2/screens.txt
0429	NOT GUARANTEED	O	Application modification of allocation vector	Applications must not depend on ALV writes	followup/BIOSTEST_SAFE_v2/screens.txt
0430	NOT GUARANTEED	O	Read-only allocation information	Post-Function-28 ALV accuracy may vary	followup/BIOSTEST_SAFE_v2/screens.txt
0431	REQUIRED	P	Function 31 DPB pointer and layout	Decoded valid 15-byte DPBs for both drives	build/compatibility/run-20260907-220132/BIOSTEST_0431_D_Y/rows.txt
0432	REQUIRED	P	DPB configuration and sharing	Both configured DPBs valid; sharing accepted	build/compatibility/run-20260907-220132/BIOSTEST_0432_D_Y/rows.txt
0433	REQUIRED	P	Documented DPB modification	DPB field changed, re-queried, and restored	build/compatibility/run-20260907-220132/BIOSTEST_0433_D_Y/rows.txt
0434	NOT GUARANTEED	O	DPB address and lifetime	Fixed DPB address/lifetime is not portable	followup/BIOSTEST_SAFE_v2/screens.txt
0435	OPTIONAL	-	Function 37 compatibility status	Run only when OPT-FN37 is claimed	followup/BIOSTEST_SAFE_v2/screens.txt
0436	REQUIRED	P	Function 3 Reader convention	Controlled logical-device boundary passed	build/compatibility/run-20260907-233043/MORECHAR/rows.txt
0437	NOT GUARANTEED	O	Reader completion and optional-device behavior	Reader/device provider behavior may vary	followup/BIOSTEST_SAFE_v2/screens.txt
0438	REQUIRED	P	Reader separation from console	Controlled logical-device boundary passed	build/compatibility/run-20260907-233043/MORECHAR/rows.txt
0439	REQUIRED	P	Function 4 Punch convention	Function 4 delivered graphic/control bytes to PUNCH	build/compatibility/run-20260907-223510/BIOSTEST_0439_Y_K/rows.txt
0440	REQUIRED	P	Function 5 List convention	Controlled logical-device boundary passed	build/compatibility/run-20260907-233043/MORECHAR/rows.txt
0441	NOT GUARANTEED	O	Character-output result values	Character-output return values may vary	followup/BIOSTEST_SAFE_v2/screens.txt
0442	REQUIRED	P	Function 7 IOBYTE query	Operator confirmed Function 7 returned IOBYTE	build/compatibility/run-20260907-222051/CONSTEST_0442_Y/rows.txt
0443	REQUIRED	P	Function 8 IOBYTE set	Function 7/8 and 0003h were coherent; restored	followup/BIOSTEST_SAFE_v2/screens.txt
0444	REQUIRED	P	IOBYTE field encoding	Operator confirmed standard IOBYTE field encoding	build/compatibility/run-20260907-222051/CONSTEST_0444_Y/rows.txt
0445	REQUIRED	P	IOBYTE routing boundary	Functions 3/4/5 kept fixed logical dispatch	build/compatibility/run-20260907-223510/BIOSTEST_0445_Y_K/rows.txt
0446	PROFILE REQUIRED	UNRECORDED	Active IOBYTE routing policy		
0447	NOT GUARANTEED	O	IOBYTE set has no initialization contract	No initialization side effect is guaranteed	followup/BIOSTEST_SAFE_v2/screens.txt
0448	REQUIRED	P	Character-device DMA independence	Character calls preserved DMA selection and sentinels	build/compatibility/run-20260907-223510/BIOSTEST_0448_Y_K/rows.txt
0449	REQUIRED	P	Stateful BIOS disk setup	Traced persistent track/sector/DMA write context	followup/BIOSTEST_ALL_D_Y_Q_Y_K_Q_v4/screens.txt
0450	REQUIRED	P	SELDSK result and deferral	SELDSK accepted scratch and rejected absent drive	followup/BIOSTEST_ALL_D_Y_Q_Y_K_Q_v4/screens.txt
0451	REQUIRED	P	Public DPH layout	Current DPH pointers and Function 31 agreed	followup/BIOSTEST_ALL_D_Y_Q_Y_K_Q_v4/screens.txt
0452	NOT GUARANTEED	O	DPH address and private workspace	Fixed DPH/private workspace is not portable	followup/BIOSTEST_ALL_D_Y_Q_Y_K_Q_v4/screens.txt
0453	REQUIRED	P	Track mapping and OFF	Configured scratch D with OFF=1 through API 207; traced SETTRK matched independent allocation/record calculation across a track boundary.	build/compatibility/bios-boundary-v3/453/screens.txt
0454	REQUIRED	P	Sector translation chain	SECTRAN result was passed to SETSEC	followup/BIOSTEST_ALL_D_Y_Q_Y_K_Q_v4/screens.txt
0455	NOT GUARANTEED	O	Translation implementation freedom	Table or equivalent algorithm is accepted	followup/BIOSTEST_ALL_D_Y_Q_Y_K_Q_v4/screens.txt
0456	REQUIRED	P	BIOS DMA state	Traced application and directory DMA addresses	followup/BIOSTEST_ALL_D_Y_Q_Y_K_Q_v4/screens.txt
0457	REQUIRED	P	BIOS logical-sector transfer	Real emulator write protection: status 01 protected, 00 restored; 128-byte transfer passed.	build/compatibility/bios-boundary/457/screens.txt
0458	REQUIRED	P	BIOS WRITE type codes	Observed WRITE type codes 0, 1, and 2	build/compatibility/run-20260907-211227/BIOSTEST_0458_D_Y/rows.txt
0459	OUTSIDE SCOPE	-	Physical storage freedom	Physical mapping is outside the public contract	followup/BIOSTEST_ALL_D_Y_Q_Y_K_Q_v4/screens.txt
0460	NOT GUARANTEED	O	BIOS disk-call reentrancy	Nested disk-call state is not guaranteed	followup/BIOSTEST_ALL_D_Y_Q_Y_K_Q_v4/screens.txt
0461	REQUIRED	P	BIOS jump-vector structure	Found 17 consecutive public JMP vectors	followup/BIOSTEST_ALL_D_Y_Q_Y_K_Q_v4/screens.txt
0462	NOT GUARANTEED	O	BIOS vector address freedom	No fixed BIOS vector address is portable	followup/BIOSTEST_ALL_D_Y_Q_Y_K_Q_v4/screens.txt
0463	REQUIRED	P	BIOS-base discovery through WBOOT gateway	BIOS base derived only from WBOOT gateway	followup/BIOSTEST_ALL_D_Y_Q_Y_K_Q_v4/screens.txt
0464	REQUIRED	P	BOOT control contract	BOOT resumed CCP with reconstructed public state	followup/BIOSTEST_0464_Y_BIOSTEST_0464\r_Y_v3/screens.txt
0465	REQUIRED	P	WBOOT control contract	WBOOT resumed CCP on the requested drive	followup/BIOSTEST_0465_Y_BIOSTEST_0465\r_v3/screens.txt
0466	REQUIRED	P	Warm-start gateway reconstruction	WBOOT reconstructed both damaged gateway opcodes	followup/BIOSTEST_0466_Y_BIOSTEST_0466\r_v3/screens.txt
0467	OUTSIDE SCOPE	-	Boot implementation freedom	Boot implementation is outside public contract	followup/BIOSTEST_ALL_D_Y_Q_Y_K_Q_v4/screens.txt
0468	REQUIRED	P	BIOS console status contract	CONST reported empty/ready/ready/empty without consume	followup/BIOSTEST_ALL_D_Y_Q_Y_K_Q_v4/screens.txt
0469	REQUIRED	P	BIOS console input contract	CONIN returned the controlled zero-parity K byte	followup/BIOSTEST_ALL_D_Y_Q_Y_K_Q_v4/screens.txt
0470	REQUIRED	P	BIOS character output contracts	CONOUT/LIST/PUNCH accepted graphic and control C bytes	followup/BIOSTEST_ALL_D_Y_Q_Y_K_Q_v4/screens.txt
0471	REQUIRED	BLOCKED	BIOS reader contract	Absent-reader EOF is checked; this target has no configured normal reader provider, so the required normal-input half remains unqualified.	src/bios/bios.mac
0472	PROFILE REQUIRED	-	LISTST result policy	Needs declared LISTST result profile	followup/BIOSTEST_ALL_D_Y_Q_Y_K_Q_v4/screens.txt
0473	REQUIRED	P	Direct BIOS call layering	Direct TAB stayed raw; BDOS TAB was formatted	followup/BIOSTEST_ALL_D_Y_Q_Y_K_Q_v4/screens.txt
0474	NOT GUARANTEED	UNRECORDED	BIOS residual registers and reentrancy		
0475	REQUIRED	P	CCP semantic prompt	Controlled A/B collision, B-only default search, explicit-A success/failure and following B prompt/BDOS drive query agreed.	build/compatibility/ccp-20260907-234543/lookup/screens.txt
0476	NOT GUARANTEED	UNRECORDED	CCP prompt presentation freedom		
0477	REQUIRED	P	CCP buffered command acquisition	Raw mixed-case input with backspace edit remained undispatched before host CR; resulting transient identity and uppercase tail verified.	build/compatibility/acquisition-20260907-235356/mixed/screens.txt
0478	PROFILE REQUIRED	UNRECORDED	DRI CCP command capacity		
0479	REQUIRED	P	CCP empty and SPACE-only commands	Independent CR, one-SPACE, and two-SPACE runs silently returned to prompt; following VER succeeded. Supersedes retained earlier failure.	build/compatibility/run-20260907-233916
0480	REQUIRED	P	TAB is not CCP SPACE	Raw TAB did not act as SPACE: NAME<TAB>MIXED did not execute NAME; following CR returned command error.	build/compatibility/acquisition-20260907-235356/tab/screens.txt
0481	REQUIRED	P	CCP ASCII case normalization	Raw mixed-case input with backspace edit remained undispatched before host CR; resulting transient identity and uppercase tail verified.	build/compatibility/acquisition-20260907-235356/mixed/screens.txt
0482	REQUIRED	P	CCP built-in command set	All six standard exact names took the built-in/CPX branch despite colliding COMs; DI and DIRX executed their distinct COM markers.	build/compatibility/ccp-20260907-234543/exact/screens.txt
0483	REQUIRED	P	Exact built-in-name matching	All six standard exact names took the built-in/CPX branch despite colliding COMs; DI and DIRX executed their distinct COM markers.	build/compatibility/ccp-20260907-234543/exact/screens.txt
0484	REQUIRED	P	Built-in precedence	All six standard exact names took the built-in/CPX branch despite colliding COMs; DI and DIRX executed their distinct COM markers.	build/compatibility/ccp-20260907-234543/exact/screens.txt
0485	REQUIRED	P	Drive-only CCP selection	Controlled A/B collision, B-only default search, explicit-A success/failure and following B prompt/BDOS drive query agreed.	build/compatibility/ccp-20260907-234543/lookup/screens.txt
0486	REQUIRED	P	Drive-prefixed transient dispatch	Controlled A/B collision, B-only default search, explicit-A success/failure and following B prompt/BDOS drive query agreed.	build/compatibility/ccp-20260907-234543/lookup/screens.txt
0487	REQUIRED	P	Primary-name transient command syntax	Bare NAME executed its controlled COM and returned via RET; explicit .COM/.TXT forms were rejected; subsequent VER succeeded.	build/compatibility/ccp-20260907-234543/identity/screens.txt
0488	REQUIRED	P	CCP resident/transient preparation boundary	Assembled CCP: declared EOF/read-error providers prove preparation only after successful loading and no execution on error/oversize. Resident USER operand reparsed without altering transient FCB/tail area.	build/compatibility/loader-results.log
0489	REQUIRED	P	Generic command-error recovery	Controlled A/B collision, B-only default search, explicit-A success/failure and following B prompt/BDOS drive query agreed.	build/compatibility/ccp-20260907-234543/lookup/screens.txt
0490	PROFILE REQUIRED	UNRECORDED	Exact DRI command-error presentation		
0491	OUTSIDE SCOPE	UNRECORDED	CCP parser implementation freedom		
0492	REQUIRED	P	CCP executable identity	Bare NAME executed its controlled COM and returned via RET; explicit .COM/.TXT forms were rejected; subsequent VER succeeded.	build/compatibility/ccp-20260907-234543/identity/screens.txt
0493	REQUIRED	P	Single-drive transient lookup	Controlled A/B collision, B-only default search, explicit-A success/failure and following B prompt/BDOS drive query agreed.	build/compatibility/ccp-20260907-234543/lookup/screens.txt
0494	REQUIRED	P	Current-user transient lookup	USER selected distinct executable copies in users 0/1/15; transient Function 32 matched and user-1 directory visibility was isolated.	build/compatibility/ccp-20260907-234543/users/screens.txt
0495	REQUIRED	P	Explicit-drive lookup context	Controlled A/B collision, B-only default search, explicit-A success/failure and following B prompt/BDOS drive query agreed.	build/compatibility/ccp-20260907-234543/lookup/screens.txt
0496	REQUIRED	P	CCP sequential COM loading	Every byte in a 382-record patterned COM checked at runtime; 383-record COM rejected before resident overwrite, followed by usable VER.	build/compatibility/load-boundary-retest.log
0497	REQUIRED	P	CCP load completion	Assembled CCP: declared EOF/read-error providers prove preparation only after successful loading and no execution on error/oversize. Resident USER operand reparsed without altering transient FCB/tail area.	build/compatibility/loader-results.log
0498	NOT GUARANTEED	UNRECORDED	Final COM record granularity		
0499	REQUIRED	P	Resident-system load protection	Every byte in a 382-record patterned COM checked at runtime; 383-record COM rejected before resident overwrite, followed by usable VER.	build/compatibility/load-boundary-retest.log
0500	NOT GUARANTEED	UNRECORDED	Transient maximum is configuration-dependent		
0501	REQUIRED	P	CCP load-failure nonexecution	Assembled CCP: declared EOF/read-error providers prove preparation only after successful loading and no execution on error/oversize. Resident USER operand reparsed without altering transient FCB/tail area.	build/compatibility/loader-results.log
0502	REQUIRED	P	Pre-execution DMA restoration	CCP restored default DMA at 0080h	captured/CCPTEST_ALL/screens.txt
0503	REQUIRED	P	CCP CALL/RET cleanup path	Bare NAME executed its controlled COM and returned via RET; explicit .COM/.TXT forms were rejected; subsequent VER succeeded.	build/compatibility/ccp-20260907-234543/identity/screens.txt
0504	REQUIRED	P	Termination-state convergence	Function 0, entry RET and JP 0000H each returned to B0 and executed VER. RET-versus-WBOOT distinction is separately failed under 0509.	build/compatibility/run-20260908-002221
0505	OUTSIDE SCOPE	-	CCP loader implementation freedom	Outside executable scope	captured/CCPTEST_ALL/screens.txt
0506	PROFILE REQUIRED	-	Default FCB operand assignment	DRI-CCP-ECO: Run CCPTEST /0506	captured/CCPTEST_ALL/screens.txt
0507	NOT GUARANTEED	O	Default FCB residual fields	Residual FCB fields unspecified	captured/CCPTEST_ALL/screens.txt
0508	PROFILE REQUIRED	-	Tail capacity is bounded by CCP input acquisition	DECLARED-CCP: Run CCPTEST /0508	captured/CCPTEST_ALL/screens.txt
0509	REQUIRED	F	Transient termination mechanisms	Entry RET reaches the public WBOOT gateway (instrumented), although all three mechanisms restore a usable CCP. Stock RET-without-WBOOT distinction is not met.	build/compatibility/gaps-20260908-004215/screens.txt
0510	NOT GUARANTEED	O	RET does not generally reconstruct page zero	RET need not rebuild page zero	captured/CCPTEST_ALL/screens.txt
0511	NOT GUARANTEED	O	Termination does not implicitly close application FCBs	Open FCBs need explicit close	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0512	PROFILE REQUIRED	-	Post-termination drive and user policy	Run /0512 with declared CCP-LIFECYCLE profile	followup/ERRTEST_SAFE_v2/screens.txt
0513	REQUIRED	P	File-operation failures are function-specific	Missing OPEN=FFh; sequential READ returned 00h then EOF 01h	captured/ECOTEST_ALL/screens.txt
0514	NOT GUARANTEED	O	Failure does not generally validate DMA contents	A failed transfer does not validate DMA contents	followup/ERRTEST_SAFE_v2/screens.txt
0515	NOT GUARANTEED	O	FCB state after precondition or operation failure	Failed-operation FCB state has no general guarantee	captured/ECOTEST_ALL/screens.txt
0516	REQUIRED	P	Directory-full and allocation-full are distinct	Separate directory exhaustion and allocation exhaustion fixtures returned distinct Make/sequential/random results; assembled BDOS unit regression checks state preservation too.	build/compatibility/final-bdos-unit.log
0517	NOT GUARANTEED	O	Malformed FCB behavior is outside the portable contract	Malformed FCB not portable	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0518	REQUIRED	P	BDOS system state components	Drive, user, login state read	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0519	REQUIRED	P	BIOS-owned selected-drive resources	BDOS DPB/ALV match BIOS-owned DPHs on A through D	build/compatibility/run-20260907-223058/COREMORE_AB_r/rows.txt
0520	REQUIRED	P	Function 26 persistence boundary	Fn 26 persisted until reset	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0521	REQUIRED	P	System-state independence	Drive/user state independent	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0522	NOT GUARANTEED	O	ALV and DPB pointer lifetime	ALV=EEB7 DPB=ED88	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0523	OPTIONAL	-	Function 37 state-effect profile scope	Fn 37 profile not requested	followup/BDOSTEST_ALL_v3/screens.txt
0524	OUTSIDE SCOPE	-	CP/M 2.2 Function 39 has no Get-BIOS contract	Outside executable scope	followup/BDOSTEST_ALL_v3/screens.txt
0525	REQUIRED	P	CP/M 2.2 selectors 40 and 41	Fn 40 valid; Fn 41 unsupported	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0526	REQUIRED	P	Common BDOS gateway and invocation	Gateway at 0005h accepted call	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0527	REQUIRED	P	Common selector and parameter carriers	C and DE carried selector/input	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0528	REQUIRED	P	Common result and alias convention	Result aliases matched A/L B/H	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0529	REQUIRED	P	Strict CP/M 2.2 unsupported selectors	Unsupported call returned zero	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0530	NOT GUARANTEED	O	General register preservation	Registers may change	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0531	REQUIRED	P	Returning-call stack balance	Returning call balanced stack	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0532	NOT GUARANTEED	O	Invalid parameters are function-specific	Bad params are call-specific	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0533	NOT GUARANTEED	O	BDOS reentrancy	BDOS is not reentrlicit close	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0534	REQUIRED	P	Complete transient handoff	Complete transient image received	captured/CCPTEST_ALL/screens.txt
0535	OUTSIDE SCOPE	-	Handoff preparation ordering	Outside executable scope	captured/ENTRYTST_ALL/screens.txt
0536	NOT GUARANTEED	O	Unloaded transient memory	Unloaded TPA bytes unspecified	captured/CCPTEST_ALL/screens.txt
0537	REQUIRED	P	Immediate BDOS readiness	BDOS ready at transient entry	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0538	REQUIRED	P	Loader DMA isolation	Loader left DMA at 0080h	captured/CCPTEST_ALL/screens.txt
0539	NOT GUARANTEED	O	Transient stack preparation	SP=CA78; not guaranteed	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0540	REQUIRED	P	Load rejection suppresses execution	Assembled CCP: declared EOF/read-error providers prove preparation only after successful loading and no execution on error/oversize. Resident USER operand reparsed without altering transient FCB/tail area.	build/compatibility/loader-results.log
0541	NOT GUARANTEED	O	Post-RET reconstruction boundary	Post-RET/no oracle=00; next=FF	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0542	REQUIRED	P	Enumeration returns directory entries, not unique filenames	Enumerated extents=02; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0543	REQUIRED	P	Matching extents remain separately visible	Visible matching extents=02; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0544	NOT GUARANTEED	O	Application-built FCB case is not folded	Lowercase FCB search=FF; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0545	REQUIRED	P	Search FCB lifetime	Search first/next=00; next=01	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0546	REQUIRED	P	Harmless state-query calls need not end enumeration	Query between searches=00; next=01	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0547	NOT GUARANTEED	O	Search context does not survive program lifecycle reset	Lifecycle/no oracle=00; next=FF	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0548	NOT GUARANTEED	O	Physical enumeration order is not a sort contract	Physical order slots=00; next=01	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0549	NOT GUARANTEED	O	Invalid-drive search need not return a result code	Invalid search/no oracle=10; next=FF	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0550	REQUIRED	P	Special drive-question search exposes complete directory values	Prereq=00; lifecycle=00	build/compatibility/run-20260908-000045/RANDTEST_GROUP:LIFECYCLE/rows.txt
0551	REQUIRED	P	Make-to-open lifecycle equivalence	Prereq=00; lifecycle=00	build/compatibility/run-20260908-000045/RANDTEST_GROUP:LIFECYCLE/rows.txt
0552	NOT GUARANTEED	O	Working FCB may lead directory metadata	Prereq=F5; lifecycle=01	build/compatibility/run-20260908-000045/RANDTEST_GROUP:LIFECYCLE/rows.txt
0553	REQUIRED	P	Successful Close establishes reopened consistency	Prereq=00; lifecycle=00	build/compatibility/run-20260908-000045/RANDTEST_GROUP:LIFECYCLE/rows.txt
0554	NOT GUARANTEED	O	Reopen reconstructs behavior, not FCB byte identity	Prereq=00; lifecycle=C3	build/compatibility/run-20260908-000045/RANDTEST_GROUP:LIFECYCLE/rows.txt
0555	REQUIRED	P	Extents form one logical record stream	Prereq=00; lifecycle=00	build/compatibility/run-20260908-000045/RANDTEST_GROUP:LIFECYCLE/rows.txt
0556	REQUIRED	P	Completed extent survives later extension failure	Prereq=00; lifecycle=00	build/compatibility/run-20260908-000045/RANDTEST_GROUP:LIFECYCLE/rows.txt
0557	REQUIRED	P	Failed growth does not claim a new record	Prereq=00; lifecycle=FF	build/compatibility/run-20260908-000045/RANDTEST_GROUP:LIFECYCLE/rows.txt
0558	OUTSIDE SCOPE	-	Allocation order is outside lifecycle compatibility	Allocation order is outside portable scope	followup/DISKTEST_ALL_D_v4/screens.txt
0559	REQUIRED	P	User area participates in ordinary file identity	User0/user1 search=00; next=01	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0560	REQUIRED	P	Function 32 user-state contract	Set/restored user=01; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0561	REQUIRED	P	FCB does not carry ordinary user identity	Same FCB user0/user1=00; next=01	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0562	REQUIRED	P	Ordinary lookup has no cross-user fallback	User0 absent/user1 found=FF; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0563	REQUIRED	P	Make records current-user ownership	Made user1/user0 lookup=00; next=FF	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0564	REQUIRED	P	Delete and Rename are current-user scoped	Scoped delete/result mask=00; next=0F	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0565	NOT GUARANTEED	O	User change invalidates retained namespace assumptions	User-change continuation=00; next=01	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0566	REQUIRED	P	Complete-directory search is not public lookup	Public result/directory entries=00; next=02	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0567	REQUIRED	P	CCP USER and BDOS user state are shared	USER selected distinct executable copies in users 0/1/15; transient Function 32 matched and user-1 directory visibility was isolated.	build/compatibility/ccp-20260907-234543/users/screens.txt
0568	OUTSIDE SCOPE	-	User areas are not a security contract	Outside executable scope	captured/CCPTEST_ALL/screens.txt
0569	REQUIRED	P	Resident command semantic set	All six standard exact names took the built-in/CPX branch despite colliding COMs; DI and DIRX executed their distinct COM markers.	build/compatibility/ccp-20260907-234543/exact/screens.txt
0570	REQUIRED	P	DIR search and visibility	Blank, exact, wildcard, SYS-hidden, missing, explicit-drive and alternate-user DIR cases passed after the drive-label repair.	build/compatibility/ccp-20260907-235509/directory/screens.txt
0571	NOT GUARANTEED	O	DIR ordering and exact layout	DIR ordering and exact layout are not guaranteed	captured/ECOTEST_ALL/screens.txt
0572	REQUIRED	P	ERA wildcard confirmation boundary	Exact and partial-wildcard erases and all-wildcard N/Y tested; full user-0 erase spans directory records and preserves every user-1 file.	build/compatibility/ccp-20260908-000740/eraseall/screens.txt
0573	NOT GUARANTEED	O	ERA read-only attribute is not protection	Read-only attribute is not a protection contract	captured/ECOTEST_ALL/screens.txt
0574	REQUIRED	P	REN resident syntax and validation	REN success, collision, missing source and conflicting drives checked; same target name in user 1 was preserved and did not prevent user-0 rename.	build/compatibility/ccp-20260907-235509/rename/screens.txt
0575	REQUIRED	P	SAVE page mapping	Controlled provider primed 0100H..02FFH immediately before SAVE 2; saved file contains exactly 512 A5 bytes.	build/compatibility/acquisition-20260908-000625/prime/b.dmk
0576	NOT GUARANTEED	-	SAVE destructive replacement	Run: CCPTEST /0576	captured/CCPTEST_ALL/screens.txt
0577	REQUIRED	P	TYPE byte-stream contract	TYPE covered ordinary/empty/multirecord files, TAB/backspace/CR/LF, Ctrl-Z termination and missing-file recovery.	build/compatibility/ccp-20260907-235509/types/screens.txt
0578	REQUIRED	F	CCP USER accepted range	Stock USER rejects 16; BetterCP/M intentionally accepts 0..31. Preserve the extension and record this baseline divergence for the release profile.	build/compatibility/ccp-20260907-234543/users/screens.txt
